Meta-Protein 2708;BE_03;BE_04;BE_06;BE_08;BE_09;BE_10;BE_40;BE_07;BE_01;BE_02;BE_05;BE_11;BE_12;BE_13;BE_14;BE_15;BE_16;BE_17;BE_18;BE_20;BE_21;BE_22;BE_25;BE_26;BE_28;BE_29_1;BE_29_2;BE_29_3;BE_32;BE_36;BE_37;BE_38;BE_41;BE_43;BE_45_1;BE_45_2;BE_45_3;BE_35;BE_44;BE_30;BE_33;BE_31;BE_34;BE_19;BE_23;BE_24;BE_27;BE_46;BE_48;BE_49;BE_50;BE_51;BE_52;BE_53;BE_55;BE_47;BE_54;BE_56;BE_57;BE_58;BE_59;BE_61;BE_63;BE_62;BE_60;BE_64
Meta-Protein 130;0;0;0;0;0;0;0;0;0;0;0;0;0.000592593;0.003436262;0.008949347;0;0.002157218;0.000488281;0.003104901;0;0.00010717;0.000332779;0;0.001862306;0.000505634;0.001290184;0.001278062;0.000111807;7.71E-05;0.003451938;0.002134251;0.002418731;0;0.000164051;0;0;0;0.00063484;0.001817312;0.000137174;0;0;0;0.001015663;0.000809342;0;0;0.005963388;0.002344443;0.002945774;0.004445385;0.002404884;0.00372269;0.005573522;0;0.000982898;0.004765096;0;0.004933256;0.004253231;7.87E-05;0.000290824;0.000182804;0;0.00040568;0.003191224
Meta-Protein 3001;0.002830189;0.006246997;0.008253968;0.008922443;0.002548234;0.005856515;0.003993344;0.001616255;0.005753138;0.005844156;0.002321981;0.008502289;0.001777778;0.000238629;0;0.002916059;0.001035465;0.003011068;0.001829674;0.003249857;0.000696603;0.003410982;0.0025647;0.000756562;0.000505634;0.001343942;0.001667037;0.001341682;0.001078998;0.000354045;0.001101549;0.001064241;0.002535449;0.002570132;0.0014699;0.00166113;0.001775239;0.00253936;0.002582496;0.001371742;0.003294634;0.000975419;0.001296316;0.000641471;0.002774887;0.0008938;0.001446685;0.001710429;0.00304144;0.000781532;0.001005504;0.000801628;0.001098499;0.001169752;0.000883392;0.00131053;0.001340183;0.001575512;0.001305862;0.000817929;0.00251691;0.001454122;0.00127963;0.001097602;0.001555105;0.000448766
Meta-Protein 3568;0.001886792;0.003844306;0.003809524;0.004118051;0.000728067;0.003660322;0.00266223;0;0.001046025;0.003896104;0.000773994;0.005232178;0.000148148;9.55E-05;0;0.003228494;8.63E-05;0.002278646;0.000221779;0.003377302;0.000803772;0.002745424;0.001632082;0.000290985;0.000505634;0.00069885;0.000555679;0;0.000154143;0.000619579;0.000757315;0.000386997;0.002065922;0.00284355;0.003207056;0.003243158;0.002701451;0.001841036;0.003634625;0.001714678;0.006118607;0.001690727;0.003024738;0.000748383;0.002196786;0.00195011;0.003489065;0.001248151;0.002597896;0.000601178;0.000370449;0.000678301;0.000976443;0.00061928;0;0.002752113;0.002605912;0;0.002539176;0.000654343;0.006056316;0.001260239;0.001888977;0.002532928;0.000270453;0.000498629
Meta-Protein 7068;0;0.000480538;0;0;0.0010921;0;0;0.000461787;0;0;0;0;0.004296296;0.000429533;0;0.002916059;0.001812063;0.002441406;0.002772233;0.001465622;0.001286036;0.002246256;0.002253828;0.001105744;0.000722335;0.002687883;0.003167371;0.002236136;0.001156069;0.000885112;0.003717728;0.001596362;0.000939055;0.0056871;0.000467696;0.000474608;0.000617475;0.001523616;0.002199904;0.001303155;0.000627549;0.000910391;0.000432105;0.00144331;0.002659267;0;0.000680793;0.003467086;0.003294893;0.001142239;0.001217189;0.000616637;0.001647748;0.001444987;0.000441696;0.000917371;7.45E-05;0.000450146;7.25E-05;0.000408965;0.00228095;0.001211769;0.000243739;0.000422155;0.001419878;4.99E-05
Meta-Protein 140;0;0;0;0;0;0;0;0;0;0;0;0;0.000296296;0.004677135;0.011455164;0;0.002070929;0.000325521;0.001108893;6.37E-05;0.00010717;0.000415973;7.77E-05;0.0019787;0.000288934;0.000430061;0.000388975;0.000894454;0.000154143;0.000885112;0.000895009;0.002708978;9.39E-05;5.47E-05;0.000133627;0.000158203;7.72E-05;0.000507872;0.000286944;6.86E-05;0.000156887;0.000130056;0;0.000641471;0.000462481;8.13E-05;8.51E-05;0.006703033;0.00133063;0.002585067;0.005027519;0.002158229;0.005370438;0.003096401;0;0.000393159;0.003127094;0;0.003047011;0.006134468;7.87E-05;0.000387766;0.000182804;0;0.00040568;0.003739716
Meta-Protein 210;0;0.000961076;0;0.000686342;0.0010921;0;0;0.000692681;0.000523013;0.000649351;0;0.000654022;0.002666667;0.000524984;0;0.002811914;0.00138062;0.002034505;0.001718785;0.002676353;0.001125281;0.001996672;0.001398927;0.000814759;0.000577868;0.002150306;0.001778173;0.002124329;0.000770713;0.000973624;0.002547332;0.000677245;0.003286694;0.002570132;0.001336273;0.000949217;0.001312133;0.003047232;0.002965088;0.002674897;0.002196423;0.001625699;0.001404343;0.00117603;0.001965545;0.000325018;0.001191388;0.001294379;0.002724623;0.000661296;0.000687976;0.000924955;0.001037471;0.001169752;0.000883392;0.00131053;0.001265729;0.000675219;0.001233314;0.001145101;0.002752871;0.001114827;0.001340564;0.001688619;0.001284652;0.000149589
Meta-Protein 17585;0.012264151;0;0;0;0.005096469;0;0;0;0;0;0;0;0;0;0.000536961;0;0;0;0;0;0;0;0;0;0;0;0;0;0.001233141;0;0;0;0.000469528;5.47E-05;0.002605733;0.002531245;0.002392714;0;0.002295552;0;0.000156887;0;0;0;0;0.00479402;0;0.001201923;0.000126727;0.003727306;0.00127011;0.005303077;0.005431466;0.009908484;0;0.008715025;0.001861365;0;0.001886245;0.006543432;0;0.000533178;0.005240388;0.000422155;0.000743746;0.00294191
Meta-Protein 3369;0;0;0;0;0;0;0.001331115;0;0;0;0;0;0;0;0;0;0;0;0;0.006117377;5.36E-05;8.32E-05;0;0;0;0;0;0;0;0;0;0;0.00882712;0.003335703;0.007683571;0.008305648;0.008027169;0.009014728;0.004304161;0.002949246;0.007059931;0.003771622;0.007993951;0;0;0.006906638;0;0;0.00247117;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Meta-Protein 3061;0.004245283;0.001922153;0;0.002059025;0.002912268;0.001464129;0;0;0.002615063;0.001298701;0;0.001308044;0;0.002290841;0.002684804;0.000312435;0.003710415;0.001708984;0.002328676;0.000254891;0.000964527;0.001580699;0.000544027;0.001280335;0.001372436;0.00435437;0.004667704;0.00245975;0.002620424;0;0;0.000919118;0;0.00164051;0.000133627;0.000316406;0.000308737;0.000126968;0.000669536;0.0021262;0;0.000520224;0;0.002458973;0.00011562;0.001543837;0;0.001340607;0.002724623;0.001563064;0.001746401;0.001603256;0.001220554;0.001169752;0;0.000589739;0.00193582;0;0.001886245;0.001881237;0.001258455;0.001114827;0.000792152;0.001013171;0.001149425;0.002642732
Meta-Protein 3180;0;0.000480538;0;0;0.000364033;0;0;0.000692681;0;0;0;0;0.00237037;0.000334081;0;0.003124349;0.00138062;0.002197266;0.002273231;0.004651756;0.000857357;0.001996672;0.003341882;0.000523773;0.000433401;0.001182669;0.001166926;0.002236136;0.000847784;0.000354045;0.001927711;0.000967492;0.002253733;0.003390387;0.001870782;0.002373042;0.002161161;0.00190452;0.000765184;0.000891632;0.001568874;0.000715308;0.002484606;0.000801839;0.003006128;0.001137564;0.002212578;0.001664201;0.00266126;0.000661296;0.000952583;0.000986619;0.00079336;0.001032134;0.000220848;0.000393159;0.000148909;0.000675219;0.000145096;0.000490757;0.001573069;0.002181184;0.001096825;0.000591017;0.002096011;9.97E-05
Meta-Protein 341;0.002830189;0.003363767;0;0.002059025;0.003640335;0;0;0;0;0;0;0;0;0;0.000178987;0;0.000517732;0.000651042;0.001996008;0.001274454;5.36E-05;0.000998336;0;0;0;0.000806365;0.001222494;0.000894454;7.71E-05;0;0;0.000435372;0.001220772;0.001476459;0.002872987;0.002926752;0.003318926;0.003301168;0.003634625;0;0.001882648;0.001105475;0.000324079;0.001122574;0;0.000812546;8.51E-05;0.001248151;0.00266126;0.002344595;0.001375953;0.003268175;0.002013914;0.001376178;0;0.00281764;0.003499367;0;0.00340975;0.003026337;0.002438257;0.001744947;0.003534215;0.002026342;0.001622718;0.000249314
Meta-Protein 6079;0.000471698;0;0;0;0.000728067;0;0;0;0;0;0;0;0;0.002338567;0.000178987;0.000312435;0.001466908;0.001139323;0.001552451;0.001019563;0.002625656;0.001331115;0.000310873;0.002502473;0.001155735;0.003171702;0.003334074;0.003354204;0.000924855;0;0;0.001547988;0.000469528;0.001312408;0.001336273;0.001423825;0.00108058;0.001079228;0.001530368;0.000617284;0.000313775;0.001235531;0;0.002565884;0;0.0008938;0.000340397;0.001248151;0.001013813;0.002104124;0.002222693;0.001479928;0.001037471;0.000756898;0;0.000589739;0.001042365;0;0.00101567;0.001063308;0.002595564;0.002375067;0.00115776;0.000759878;0.001419878;0.002393418
Meta-Protein 450;0;0;0;0;0;0;0;0;0;0;0;0;0.001037037;0.003531714;0.010739216;0;0.001553197;0;0.001829674;0;0;0;0;0.001862306;0.000144467;0.000591334;0.000555679;0.00033542;0;0.002389804;0.002478485;0.00188661;0;0;0;0;0;0.000380904;0.001147776;0;0;0;0;0.000320736;0.00011562;0;0;0.006471893;0.001267267;0.004208248;0.005715495;0.002713202;0.005187355;0.001376178;0;0.000327633;0.002605912;0;0.002539176;0.003926059;0;0.000145412;0;0;0.000270453;0.003141361
Meta-Protein 3573;0;0.000480538;0;0;0;0;0;0;0;0;0;0;0;0.005345297;0.000894935;0.00020829;0.003451549;0.001546224;0.002439565;0.000892118;0.002250563;0.001497504;7.77E-05;0.001396729;0.000794568;0.002419095;0.002722827;0.001565295;0.002235067;0;0;0.001983359;0;0.001804561;0.000200441;7.91E-05;0.000154369;0.000825292;0.001626016;0;0;0.000975419;0;0.002726252;0;0.000162509;0;0.001340607;0;0.001683299;0.001746401;0.001603256;0.001281582;0.000481662;0;6.55E-05;0.00193582;0;0.001958793;0.001063308;0.000629228;0.002229654;0.000548413;0.000168862;0.001690331;0.00363999
Meta-Protein 3915;0.001415094;0;0;0;0;0;0;0.000461787;0;0;0;0;0.001037037;0.002529471;0.005190621;0;0.001466908;0.000732422;0.001497006;6.37E-05;0.000267924;0.000998336;0.000233155;0.0019787;0.000361167;0.000967638;0.000889086;0.001341682;0.000154143;0.003097893;0.001790017;0.002080108;0;0.000164051;0;0;0;0.001079228;0.001243424;0.000754458;0;0;0;0.00117603;0.001734305;0.001868855;0;0.003513314;0.002978076;0.002104124;0.002593141;0.002034902;0.002624191;0.002201885;0.000441696;0.001441583;0.003201549;0.000450146;0.003119559;0.002453787;0.00023596;0.00067859;0.000365608;0.000253293;0.000540906;0.002792321
Meta-Protein 549;0;0.000961076;0;0;0.000728067;0;0;0.002539829;0;0;0;0;0.001777778;0.000429533;0;0.002395334;0.001466908;0.002278646;0.001996008;0.000828395;0.000964527;0.002329451;0.001632082;0.000523773;0.000577868;0.002419095;0.00211158;0.001677102;0.000770713;0.001150646;0.002271945;0.001015867;0;0.002406081;0.000133627;0.000158203;0.000154369;0.001841036;0.001243424;0.001577503;0;0.000715308;0;0.001657134;0.003237368;0;0.000255297;0.001941568;0.003675073;0.001142239;0.001164268;0.001418265;0.001281582;0.001857841;0.001987633;0.000982898;0.000223364;0.002475805;0.000217644;0.001554065;0.002438257;0.001744947;0.001096825;0.002110773;0.001217039;4.99E-05
Meta-Protein 2845;0;0;0;0;0;0;0;0.001154468;0;0;0;0;0.003703704;0.003149907;0.001252909;0.002291189;0.002847528;0.001953125;0.00249501;0.002421462;0.000535848;0.002163062;0.002331546;0.000872956;0.000288934;0.003279217;0.003000667;0.004248658;0.000154143;0.002566826;0.002753873;0.002128483;0;0.00224203;0;0;0;0.0015871;0;0.00308642;0;0.00065028;0;0.002084781;0.002543647;0;0.000850991;0.001248151;0.00323153;0;0.000370449;0;0;0;0.000220848;0.00019658;0;0.001125366;0;0.00057255;0.001179802;0.002132713;0;0;0.002028398;0
Meta-Protein 374;0.002358491;0.001441615;0;0.003431709;0.003640335;0;0;0;0;0;0;0;0;0.002720374;0.00232683;0;0.002847528;0.001302083;0.001441561;0.000318613;0.000428679;0.001164725;7.77E-05;0.000640168;0.001083502;0.002741641;0.003334074;0.002571556;0.00238921;0;0;0.00062887;9.39E-05;0.000984306;6.68E-05;0;7.72E-05;6.35E-05;0.000286944;0.002880658;0;0.001755755;0.000216053;0.000748383;0;0.003168928;0;0.001433062;0.00209099;0.002344595;0.002275614;0.00234322;0.001708776;0.001032134;0;0.00019658;0.002010275;0;0.001958793;0.000899722;0.001415762;0.001163298;0.000487478;0.001604188;0.002028398;0.002792321
Meta-Protein 85;0.000943396;0.002402691;0.002539683;0.003431709;0.000364033;0.002928258;0.003660566;0.000692681;0.001046025;0.001948052;0.003095975;0.005232178;0.00162963;4.77E-05;0;0.002916059;0.001121753;0.002685547;0.001607895;0.003887083;0.000482263;0.003410982;0.002642419;0.000232788;0.000144467;0.001021396;0.000833519;0.001341682;0.000770713;0;0.000826162;0.000870743;0.002347638;0.00284355;0.001135832;0.001186521;0.001157765;0.002729812;0.00191296;0.001234568;0.001725761;0.000845364;0.001080264;0.000320736;0.001387444;0.000650037;0.000765892;0.001756657;0.002407806;0.000480943;0.000740898;0.000801628;0.00079336;0.00061928;0.000662544;0.001245004;0.001191274;0.000675219;0.001160766;0.000327172;0.00251691;0.001163298;0.001523368;0.001182033;0.001149425;0.00034904
Meta-Protein 4339;0;0.000961076;0;0;0.000728067;0;0.000332779;0.001154468;0;0;0.000773994;0;0.002814815;0.000859066;0;0.002499479;0.002070929;0.002278646;0.001996008;0.001338176;0.001071696;0.001830283;0.002020673;0.000523773;0.000722335;0.002419095;0.001889309;0.00279517;0.00061657;0.001150646;0.002616179;0.001547988;0.000657339;0.003281019;0.000601323;0.000711913;0.00054029;0.00126968;0.002199904;0.001303155;0.000313775;0.001495643;0.000432105;0.001603678;0.002196786;8.13E-05;0.000850991;0.001340607;0.002534533;0.000601178;0.000952583;0.000739964;0.000610277;0.001307369;0.000883392;0.000524212;0.000148909;0.001125366;0.000145096;0.001226894;0.001887683;0.001454122;0.000792152;0.000591017;0.001893171;0.000149589
Meta-Protein 4857;0.000471698;0.001922153;0;0.000686342;0.001456134;0.000732064;0;0;0;0;0;0.000654022;0;0.000859066;0.000357974;0.000729015;0.00069031;0.001871745;0.000665336;0.001401899;0.003054335;0.001996672;0.000310873;0.001280335;0.00187807;0.000806365;0.000555679;0.000223614;0.002157996;0;0;0.001354489;0.00084515;0.002023295;0.001603528;0.001423825;0.001234949;0.000825292;0.005356289;6.86E-05;0.000627549;0.003056314;0.000540132;0.001389854;0;0.000731291;0.000765892;0.001017012;0.001013813;0.000781532;0.002011008;0.001726583;0.001098499;0.000481662;0;0.000131053;0.002457002;0;0.00239408;0.00057255;0.002202297;0.002181184;0.000914021;0.000844309;0.001555105;0.002543007
Meta-Protein 3146;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.003332639;0.000431444;0.007242839;0.001219783;0.002230294;0.006912442;0.006156406;0.005828865;0.002269685;0.005417509;0.000483819;0.000611247;0.00033542;0.003391137;0;0;0;0;0.002624815;0;0;0;0.001142712;0;0.000205761;0;0.000195084;0;0.000748383;0.000231241;0.000243764;0.004510254;0.000462278;0.00171081;0;0;0;0.000183083;0;0;0.000262106;0.000670092;0;0.000652931;0.000490757;0.001415762;0.002811303;0;8.44E-05;0.002434077;0
Meta-Protein 179;0.001415094;0.001441615;0.000634921;0.002745367;0.000728067;0.002196193;0.000332779;0.003463403;0.001569038;0.001298701;0.000773994;0.001962067;0.001333333;0.00081134;0.000357974;0.000937305;0.000776598;0.001546224;0.001108893;0.001529344;0.001232451;0.001414309;0.001398927;0.001105744;0.00166137;0.000967638;0.001111358;0.000782648;0.000308285;0.001947247;0.00130809;0.00125774;0.000469528;0.001367091;0.001002205;0.000949217;0.001003396;0.000761808;0.001052128;0.000960219;0.001255099;0.001755755;0.001836448;0.001657134;0.004624812;0.001218819;0.001361586;0.000739645;0.000633633;0.001262474;0.001323031;0.001233274;0.001159526;0.000481662;0.001325088;0.002686587;0.001191274;0.003376097;0.001160766;0.001063308;0.000707881;0.001114827;0.000670282;0.002617359;0.000608519;0.00104712
Meta-Protein 123;0.000471698;0.000480538;0;0.000686342;0.000364033;0;0.000332779;0.000461787;0;0.000649351;0;0.000654022;0.000444444;0;0;0.000312435;8.63E-05;0.004638672;0.000166334;0.002485184;0.000803772;0.004658902;0.004896246;0.000290985;0.005128576;0;0;0.000111807;7.71E-05;0.000796601;6.88E-05;0;0.000281717;0.00224203;6.68E-05;7.91E-05;7.72E-05;0.003555104;0;0.000685871;0.000156887;0.000585252;0.00237658;5.35E-05;0.001387444;0.007394166;0.01089269;4.62E-05;0.001013813;6.01E-05;0.000105843;0.000184991;0.000122055;0;0.000662544;6.55E-05;7.45E-05;0.000450146;7.25E-05;0.000245379;0.006528237;0.000193883;0.000121869;0.008865248;0.000270453;9.97E-05
Meta-Protein 10380;0;0.000480538;0;0;0.002184201;0;0;0.002539829;0;0;0;0;0.001925926;0.000668162;0.004116699;0;0.002416084;0.002604167;0.002273231;6.37E-05;0.000160754;0.002828619;0.000155436;0.002036897;0.001155735;0.001720245;0.001611469;0.002236136;0.001618497;0.005753231;0.002960413;0.004547214;0;0.000218735;0;0;0;0.000507872;0;0.000617284;0;0.000520224;0;0.003046988;0.002890508;0.000731291;0;0.00147929;0.000887087;0.000601178;0.000476291;0.000801628;0.001464665;0.003096401;0.001987633;6.55E-05;0.001414638;0.002475805;0.00137841;0.001554065;0.000157307;0.000339295;0.000182804;0.000253293;0.000338066;0.000997258
